"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\ChangeCountController.js", "JavaScript", 33, 5, 2, 40
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\CompanyController.js", "JavaScript", 42, 16, 3, 61
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\LoginController.js", "JavaScript", 30, 13, 7, 50
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\StoreController.js", "JavaScript", 68, 12, 8, 88
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\UserController.js", "JavaScript", 54, 12, 5, 71
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\VisitController.js", "JavaScript", 84, 27, 15, 126
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\models\Company.js", "JavaScript", 9, 4, 2, 15
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\models\Store.js", "JavaScript", 27, 7, 2, 36
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\models\User.js", "JavaScript", 20, 1, 2, 23
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\models\Visit.js", "JavaScript", 8, 3, 2, 13
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\routes.js", "JavaScript", 32, 32, 21, 85
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\server.js", "JavaScript", 25, 5, 6, 36
"Total", "-", 432, 137, 75, 644